sampling_campaign;site;tBeg;tEnd;sample_name;operator;value;parameter;unit;comment;siteCode;variableCode;labSampleCode;tMid
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.778;ACS;µg/L;;KWB_WEID;ACS;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.108;ATS;µg/L;;KWB_WEID;ATS;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.285;IOM;µg/L;;KWB_WEID;IOM;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.225;IOP;µg/L;;KWB_WEID;IOP;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.484;GAB;µg/L;;KWB_WEID;GAB;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;3.492;BTA;µg/L;;KWB_WEID;BTA;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.012;SMX;µg/L;;KWB_WEID;SMX;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.019;PRI;µg/L;;KWB_WEID;PRI;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.108;MTP;µg/L;;KWB_WEID;MTP;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.347;MBT;µg/L;;KWB_WEID;MBT;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.514;OLM;µg/L;;KWB_WEID;OLM;O2016-16334;2016-07-13 16:45:00
